participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
17,1.0,1.0,0.5,8,72,19.625,0,0,0.0,0,0.0,0.0,0.0
13,0.0,1.0,0.5,8,81,25.625,1,22,22.0,0,0.0,0.0,0.0
21,0.0,1.0,0.5,8,25,13.25,1,26,26.0,0,0.0,0.0,0.0
23,0.0,1.0,0.0,7,38,16.142857142857142,1,40,40.0,0,0.0,0.0,0.0
15,1.0,1.0,1.0,9,32,14.777777777777779,1,24,24.0,0,0.0,0.0,0.0
4,1.0,1.0,1.0,10,11,8.3,0,0,0.0,0,0.0,0.0,0.0
8,0.0,1.0,0.0,8,22,12.125,0,0,0.0,0,0.0,0.0,0.0
3,1.0,1.0,0.5,7,121,29.714285714285715,1,13,13.0,0,0.0,0.0,0.0
4,1.0,1.0,0.5,10,36,18.2,1,41,41.0,0,0.0,0.0,0.0
12,1.0,1.0,1.0,8,45,25.625,0,0,0.0,0,0.0,0.0,0.0
4,1.0,1.0,0.5,5,21,11.6,1,11,11.0,0,0.0,0.0,0.0
