participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
24,0.0,1.0,0.5,10,79,31.4
22,1.0,1.0,1.0,17,59,18.058823529411764
14,1.0,1.0,1.0,11,92,26.818181818181817
14,0.0,1.0,0.5,10,40,23.1
16,1.0,1.0,1.0,13,48,16.384615384615383
19,1.0,1.0,1.0,6,58,26.666666666666668
4,1.0,1.0,1.0,9,44,19.333333333333332
24,1.0,1.0,0.5,14,33,16.428571428571427
21,1.0,1.0,0.5,10,57,20.3
17,0.0,1.0,0.5,15,31,12.533333333333333
13,1.0,1.0,1.0,11,53,25.818181818181817
24,0.0,1.0,0.5,17,37,16.58823529411765
6,0.0,1.0,0.5,13,41,20.076923076923077
1,0.0,1.0,0.5,13,88,24.076923076923077
10,0.0,1.0,0.5,7,49,33.0
23,1.0,1.0,1.0,9,121,27.444444444444443
2,0.0,1.0,0.0,14,42,19.928571428571427
4,0.0,1.0,0.5,11,77,15.363636363636363
2,1.0,1.0,1.0,11,54,18.0
26,1.0,1.0,1.0,23,19,11.043478260869565
12,0.0,1.0,0.5,13,45,22.846153846153847
14,0.0,1.0,0.5,8,83,41.625
13,1.0,1.0,0.0,12,49,19.25
14,1.0,1.0,1.0,4,269,82.75
24,1.0,1.0,0.5,12,29,18.083333333333332
3,1.0,1.0,0.5,7,74,38.857142857142854
11,1.0,1.0,1.0,12,30,16.666666666666668
16,0.0,1.0,0.0,21,29,12.238095238095237
22,1.0,1.0,0.5,11,44,21.181818181818183
3,1.0,1.0,1.0,20,22,13.3
22,0.0,1.0,0.5,16,40,14.25
13,0.0,1.0,0.5,11,42,21.545454545454547
25,1.0,1.0,0.0,14,32,17.071428571428573
19,1.0,1.0,1.0,8,51,26.625
14,0.0,1.0,0.5,3,243,105.66666666666667
8,1.0,1.0,0.5,14,34,15.214285714285714
12,0.0,1.0,0.5,14,61,17.214285714285715
2,1.0,1.0,1.0,9,71,21.555555555555557
17,0.0,1.0,0.5,14,45,13.785714285714286
24,1.0,1.0,0.5,11,87,24.181818181818183
13,1.0,1.0,0.0,11,31,13.909090909090908
13,0.0,1.0,0.0,11,53,20.181818181818183
23,1.0,1.0,1.0,6,59,29.666666666666668
24,1.0,1.0,1.0,12,30,15.833333333333334
9,1.0,1.0,1.0,9,53,29.333333333333332
3,1.0,1.0,1.0,17,47,16.58823529411765
17,0.0,1.0,0.5,14,45,18.0
22,1.0,1.0,1.0,13,66,24.307692307692307
15,1.0,1.0,1.0,11,55,25.272727272727273
23,1.0,1.0,0.5,9,33,13.88888888888889
16,1.0,1.0,1.0,20,64,15.1
2,0.0,1.0,0.0,14,43,17.928571428571427
11,1.0,1.0,1.0,11,51,18.09090909090909
16,1.0,1.0,0.0,17,56,17.294117647058822
24,1.0,1.0,0.5,11,67,28.545454545454547
7,1.0,1.0,0.5,10,60,29.7
7,1.0,1.0,0.5,9,56,29.77777777777778
24,1.0,1.0,0.5,6,64,49.166666666666664
23,1.0,1.0,1.0,13,36,16.53846153846154
18,1.0,1.0,1.0,9,33,20.333333333333332
8,1.0,1.0,0.5,10,52,21.0
18,0.0,1.0,0.5,15,13,9.8
1,1.0,1.0,1.0,8,62,20.875
24,0.0,1.0,0.5,10,98,30.3
14,1.0,1.0,1.0,5,155,64.0
6,1.0,1.0,1.0,10,78,30.8
2,1.0,1.0,0.5,6,81,53.166666666666664
4,1.0,1.0,0.5,10,23,11.4
4,1.0,1.0,0.5,12,20,11.333333333333334
