participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration
7,1.0,1.0,0.5,5,93,44.0,1,31,31.0
4,1.0,1.0,1.0,4,63,35.0,0,0,0.0
7,0.0,1.0,0.0,8,40,25.125,0,0,0.0
5,1.0,1.0,1.0,5,83,39.6,1,13,13.0
7,0.0,1.0,0.5,1,188,188.0,0,0,0.0
24,1.0,1.0,1.0,10,23,15.0,1,9,9.0
18,0.0,1.0,0.5,6,40,22.333333333333332,1,21,21.0
25,1.0,1.0,0.5,10,56,16.3,0,0,0.0
22,0.0,1.0,0.5,10,30,12.8,1,24,24.0
12,1.0,1.0,0.5,12,30,15.5,0,0,0.0
8,0.0,1.0,0.5,7,42,20.285714285714285,0,0,0.0
18,1.0,1.0,1.0,5,103,39.2,0,0,0.0
18,1.0,1.0,1.0,7,42,21.714285714285715,0,0,0.0
17,1.0,1.0,1.0,12,36,16.333333333333332,0,0,0.0
1,1.0,1.0,0.5,13,44,12.76923076923077,1,13,13.0
7,0.0,1.0,0.5,3,130,70.33333333333333,1,30,30.0
25,1.0,1.0,1.0,6,59,30.666666666666668,0,0,0.0
9,0.0,1.0,0.0,11,30,18.272727272727273,1,10,10.0
19,1.0,1.0,1.0,12,24,13.25,0,0,0.0
19,1.0,1.0,1.0,3,56,24.666666666666668,1,45,45.0
9,1.0,1.0,0.5,8,41,20.125,1,10,10.0
24,1.0,1.0,1.0,7,45,26.142857142857142,0,0,0.0
23,1.0,1.0,1.0,5,22,13.8,0,0,0.0
12,1.0,1.0,1.0,13,34,12.615384615384615,0,0,0.0
14,1.0,1.0,1.0,10,51,20.9,0,0,0.0
12,1.0,1.0,1.0,10,44,19.2,1,11,11.0
